sleeper_id,full_name,position,fantasy_positions,active,status,team,injury_status,years_exp,gsis_id
801,Charles Clay,TE,TE,True,Active,,,11.0,00-0028112
4911,Quinton Schooley,C,OL,True,Active,,,6.0,
4275,Justin Senior,OT,OL,True,Active,,,5.0,00-0033583
306,DeAngelo Williams,RB,RB,False,Inactive,,,14.0,
3484,Nelson Spruce,WR,WR,False,Inactive,,,6.0,00-0032685
2676,Zach Vigil,LB,LB,False,Inactive,,,7.0,00-0031728
6374,Drew Belcher,TE,TE,True,Active,,,3.0,00-0035484
4054,Mo Alie-Cox,TE,TE,True,Active,IND,,9.0,00-0033217
1450,Ace Sanders,WR,WR,False,Inactive,,,3.0,
1966,Ryan Lankford,WR,WR,False,Inactive,,,1.0,
7944,Michael Strachan,WR,WR,True,Active,,,4.0,
11319,Truman Jones,DE,DL,True,Active,TEN,,3.0,
219,Mario Williams,DE,DL,False,Inactive,,,14.0,
2919,Tyler McDonald,WR,WR,False,Inactive,,,1.0,
7740,Kobe Jones,LB,DL|LB,True,Active,,,3.0,
1550,Ryan Griffin,QB,QB,True,Active,,,10.0,00-0029857
4969,Vita Vea,DT,DL,True,Active,TB,,8.0,00-0034773
13108,Julian Fleming,WR,WR,True,Active,,,0.0,
623,Rodger Saffold,G,OG|OL,True,Active,,,14.0,00-0027648
557,Perrish Cox,CB,DB,False,Inactive,,,10.0,
11794,Micah Abraham,CB,DB,True,Active,,,1.0,
6930,Trystan Colon,C,OL,True,Active,,NA,6.0,
3423,Robbie Chosen,WR,WR,True,Active,,,10.0,00-0032688
3175,Jack Conklin,OT,OL|OT,True,Active,,,10.0,00-0033057
1897,Nikita Whitlock,FB,RB,False,Inactive,,,6.0,
12121,Deshaun Fenwick,RB,RB,True,Active,,,1.0,
3723,Josh James,G,OL,True,Active,,,6.0,00-0032638
1282,Ryan Davis,DE,DL|LB,False,Injured Reserve,,,8.0,00-0029053
406,John Phillips,TE,TE,False,Inactive,,,13.0,00-0027139
3496,Stephen Anderson,TE,TE,True,Active,,,8.0,00-0032725
1,GJ Kinne,QB,QB,False,Inactive,,,1.0,
4813,Marvin Bracy,WR,WR,True,Active,,,5.0,00-0034025
11365,Tyreque Jones,DB,DB,True,Active,,,1.0,
1800,Jordan Matthews,TE,TE,True,Active,,,11.0,00-0031299
7795,Rodarius Williams,CB,DB,True,Active,,,2.0,
5907,Vosean Joseph,OLB,LB,True,Inactive,,,3.0,00-0035271
6702,Andrew Jacas,K,K,False,Inactive,,,0.0,
2780,Ian Wild,S,DB,False,Inactive,,,1.0,
591,Major Wright,SS,DB,False,Inactive,,,10.0,
4833,Connor Bozick,G,OL,True,Active,,,5.0,
833,Jordan Cameron,TE,TE,False,Inactive,,,9.0,
7964,Leighton McCarthy,LB,LB,True,Inactive,,,1.0,
7634,Jamin Davis,LB,LB,True,Active,,,5.0,
7846,Caleb Johnson,LB,LB,True,Active,,,5.0,
4209,Danny Isidora,OL,OG|OL,True,Active,,,6.0,00-0033960
2537,Mario Alford,WR,WR,False,Inactive,,,5.0,00-0031962
3953,Austin Trainor,QB,QB,False,Inactive,,,0.0,
12258,Buddha Jones,NT,DL,True,Active,,,1.0,
5100,Jordan Wilkins,RB,RB,True,Active,,,5.0,00-0034400
7938,Hunter Kampmoyer,TE,TE,True,Active,,,3.0,
12848,Josh Kelly,WR,WR,True,Active,HOU,,1.0,
404,Jon Kitna,QB,QB,False,Inactive,,,24.0,
7392,Javelin Guidry,CB,DB,True,Active,,,4.0,
4847,Mikey Bart,DE,DL|LB,True,Active,,,5.0,
2758,Brennen Beyer,ILB,LB,False,Inactive,,,7.0,
11376,Richard Gouraige,OL,OL,True,Active,,,3.0,
7381,Niko Lalos,DE,DL,True,Active,,,6.0,
1872,Timmy Jernigan,DT,DL,True,Active,,,8.0,00-0031170
13552,Anterio Thompson,DT,DL,True,Active,ATL,PUP,0.0,
7199,Josh Nurse,DB,DB,True,Inactive,,,2.0,
698,Charlie Whitehurst,QB,QB,False,Inactive,,,14.0,
6221,Justin Skule,OT,OL|OT,True,Active,TB,,7.0,00-0034989
8698,Jake Tonges,TE,TE,True,Active,SF,,4.0,
3453,Josh Ferguson,RB,RB,True,Active,,,6.0,00-0032377
4385,Kalif Phillips,RB,RB,True,Active,,,5.0,
1623,Marcus Cromartie,FS,DB,False,Injured Reserve,,,7.0,00-0030317
7013,Steven Montez,QB,QB,True,Active,,,3.0,
8084,Mark Gilbert,CB,DB,True,Inactive,,,2.0,
11849,Karsen Barnhart,OL,OL,True,Active,,,2.0,
2745,Brad Bars,DE,DL|LB,False,Inactive,,,5.0,
2193,Darrin Reaves,RB,RB,False,Inactive,,,8.0,
7862,T.J. Vasher,WR,WR,True,Active,,,1.0,
12459,Player Invalid,RB,RB,False,Inactive,,,0.0,
10233,Max Duggan,QB,QB,True,Active,,,1.0,
8079,Craig Stevens,TE,TE,False,Inactive,,,12.0,
1517,Theo Riddick,RB,RB,True,Injured Reserve,,,9.0,00-0030107
5354,Canon Rooker,K,K,False,Inactive,,,0.0,
1396,Josh Aubrey,SS,DB,False,Inactive,,,7.0,
6279,Brandon Dillon,TE,TE,True,Inactive,,,4.0,00-0035102
6501,C.J. Conrad,TE,TE,True,Active,,,3.0,00-0035009
5704,David Tepper,,,True,Inactive,,,0.0,
11217,Michael Ayers,LB,LB,True,Active,,,1.0,
85,Justin Tuck,DE,DL,False,Inactive,,,15.0,
11709,Matt Goncalves,OL,OL,True,Active,IND,,2.0,
11161,Kendall Smith,DB,DB,True,Active,,,1.0,
8796,Silas Kelly,LB,LB,True,Active,,,1.0,
13982,Gavin Ortega,C,,True,Active,DEN,,0.0,
8620,Segun Olubi,LB,LB,True,Active,LV,,4.0,
2311,Leonard Williams,DE,DL,True,Active,SEA,,11.0,00-0031933
6351,Corrion Ballard,S,DB,True,Active,,,3.0,00-0035441
3587,Stefan McClure,SS,DB,False,Inactive,,,6.0,
11865,Jalyn Phillips,DB,DB,True,Active,,,1.0,
3777,Dillon Gordon,OT,OL,True,Active,,,6.0,00-0032909
5728,Kendall Calhoun,OT,OL,True,Active,,,4.0,00-0034722
1007,Kevin Brock,TE,TE,False,Inactive,,,3.0,
4932,Nick James,DT,DL,True,Active,,,5.0,
6476,D'Angelo Ross,DB,DB,True,Active,CLE,,7.0,00-0034966
3005,Lavon Hooks,DT,DL,True,Active,,,7.0,00-0031832
3511,Aziz Shittu,DT,DL,True,Inactive,,,6.0,00-0032981
5776,Mark Chapman,WR,WR,True,Active,,,4.0,00-0034861
6818,Nnamdi Madubuike,DT,DL,True,Active,BAL,Questionable,6.0,
2948,Brandon Cottom,RB,RB,True,Active,,,7.0,
12971,Ke'Shawn Williams,WR,WR,True,Active,CIN,,1.0,
5635,Rashard Fant,CB,DB,True,Active,,,4.0,00-0034589
6381,Alexander Hollins,WR,WR,True,Active,,,3.0,00-0035104
6016,Dax Raymond,TE,TE,True,Active,PIT,,3.0,00-0035058
13648,Quindarius Dunnigan,DL,DL,True,Active,,,0.0,
13660,T.J. Bollers,DL,DL,True,Active,JAX,,0.0,
5538,Fred Lauina,G,OL,True,Active,,,4.0,00-0034254
13244,R.J. Moten,LB,LB,True,Active,,,1.0,
11744,Dadrion Taylor-Demerson,DB,DB,True,Active,ARI,Questionable,2.0,
3738,Jake Bernstein,G,OL,False,Inactive,,,0.0,
1163,Markus Kuhn,DT,DL,False,Inactive,,,8.0,
4662,Dillon DeBoer,C,OL,True,Inactive,,,5.0,
11157,Brycen Tremayne,WR,WR,True,Active,CAR,,3.0,
3471,Aaron Green,RB,RB,False,Inactive,,,6.0,00-0032672
977,Demarcus Dobbs,DE,DL,False,Inactive,,,9.0,
2297,Glenn Winston,RB,RB,False,Inactive,,,6.0,
13880,Bryce Henderson,OL,OL,True,Active,,,0.0,
6981,Tipa Galeai,LB,DL|LB,True,Inactive,,,2.0,
881,Ricky Stanzi,QB,QB,False,Inactive,,,5.0,
4542,B.T. Sanders,SS,DB,True,Active,,,5.0,
5841,Ed Oliver,DT,DL,True,Active,BUF,,7.0,00-0035230
8366,Isaiah Graham-Mobley,LB,LB,True,Active,,,1.0,
6908,La'Mical Perine,RB,RB,True,Active,,,4.0,
7710,Janarius Robinson,DE,DL,True,Active,,,5.0,
1370,William Campbell,G,OL,False,Inactive,,,1.0,
3482,Elijah Shumate,SS,DB,True,Active,,,9.0,
12571,Mike Green,DL,DL|LB,True,Active,BAL,,1.0,
4569,Brian Brown,WR,WR,True,Active,,,5.0,00-0033655
8823,Alex Mollette,OL,OL,True,Active,,,1.0,
12120,Zuri Henry,OL,OL,True,Active,,,1.0,
8277,Christopher Allen,LB,LB,True,Active,,,1.0,
3945,Darius White,WR,WR,False,Inactive,,,0.0,
12060,Aaron Casey,LB,LB,True,Active,,,1.0,
5525,Justin Evans,OT,OL,True,Active,,,4.0,00-0034187
4673,Algernon Brown,FB,RB,True,Active,,,5.0,00-0033736
5007,Keke Coutee,WR,WR,True,Active,,,5.0,00-0034366
8116,Pierre Strong,RB,RB,True,Active,GB,,4.0,
2518,Hayes Pullard,LB,LB,False,Inactive,,,7.0,00-0032171
6823,Jacob Eason,QB,QB,True,Active,,,4.0,
