yprr,weighted_opportunity,aging_curve_position,feature_season,route_participation,total_points_t,dakota,air_yards_share,ppg_t_minus_1,ppg_t,is_dual_threat,age,pass_attempts,cpoe,dropback_count,depth_chart_position,games_t,snap_share_t_minus_1,target_share_nfl,snap_share,ppg_t_minus_2,epa_per_dropback,player_id,team,tprr,aging_curve_value,position,avg_ppg_t1_t2
,0.0,,2020,,12.16,,0.0,8.666666666666668,3.04,False,34.0,43,-0.7413390147335398,,QB,4,,0.0,,7.675000000000001,-3.7392403778921603,00-0026544,DET,,0.92,QB,1.3133333333333332
,0.0,,2021,,-0.2,,0.0,3.04,-0.2,False,35.0,0,,,QB,1,,0.0,,8.666666666666668,,00-0026544,LAC,,0.84,QB,2.8266666666666667
,0.0,,2018,,-0.52,,0.0,,-0.10400000000000001,False,33.0,2,-28.569602966308594,,QB,5,,0.0,,,-1.5009690042352304,00-0026625,NE,,1.0,QB,3.6350000000000002
,0.0,,2019,,21.080000000000002,,0.0,-0.10400000000000001,5.2700000000000005,False,34.0,65,-7.09462539660625,,QB,4,,0.0,,,-13.520569298928937,00-0026625,IND,,0.92,QB,2.228
,0.0,,2020,,2.0,,0.0,5.2700000000000005,2.0,False,35.0,24,-1.3374165348384692,,QB,1,,0.0,,-0.10400000000000001,-9.24764575094061,00-0026625,NE,,0.84,QB,1.9680000000000002
,0.0,,2021,,12.280000000000001,,0.0,2.0,2.4560000000000004,False,36.0,11,16.28043692972925,,QB,5,,0.0,,5.2700000000000005,6.959044813615037,00-0026625,NE,,0.76,QB,1.975
,0.0,,2022,,1.48,,0.0,2.4560000000000004,1.48,False,37.0,6,12.952211002508799,,QB,1,,0.0,,2.0,-2.126523873504231,00-0026625,NE,,0.68,QB,2.47
,0.4401686946902655,,2018,,150.5,,0.234375,,8.852941176470589,False,31.0,0,,,WR,17,,0.184070796460177,0.6852941176470588,,,00-0026986,BAL,,0.64,WR,3.0999999999999996
,0.13770793035032658,,2018,,127.2,,-0.0103572183470725,,9.085714285714285,True,30.0,0,,,RB,14,,0.09663865546218488,0.5335714285714286,,,00-0027029,BUF,,0.12,RB,6.324038461538462
,0.07421428926071198,,2019,,118.60000000000001,,-0.004369197160021846,9.085714285714285,9.123076923076924,True,31.0,0,,,RB,13,0.5335714285714286,0.051515151515151514,0.3228571428571429,,,00-0027029,KC,,0.0,RB,3.525
,0.4499802957103031,,2018,,193.6,,0.22900763358778625,,12.1,False,31.0,0,,,TE,16,,0.1931166347992352,0.73125,,,00-0027061,LV,,0.9,TE,10.082941176470587
,0.3077172302178348,,2019,,177.9,,0.18142048378795678,12.1,11.860000000000001,False,32.0,0,,,TE,15,0.73125,0.12048192771084337,0.5586666666666666,,,00-0027061,NO,,0.8,TE,8.290441176470587
,0.35086842664162254,,2020,,141.2,,0.22401783226525496,11.860000000000001,8.305882352941175,False,33.0,0,,,TE,17,0.5586666666666666,0.12937062937062938,0.46352941176470586,12.1,,00-0027061,NO,,0.7,TE,8.275
,0.47761830920553716,,2018,,273.72,,0.22012699634404465,,18.248,False,32.0,2,40.241020917892456,,WR,15,,0.21568627450980393,0.8913333333333333,,1.587602566491114,00-0027150,NE,,0.52,WR,12.610882352941177
,0.5985377739226813,,2019,,269.48,,0.3098503740648379,18.248,15.851764705882355,False,33.0,2,44.97598186135292,,WR,17,0.8913333333333333,0.25442834138486314,0.8741176470588234,,2.7680332942982204,00-0027150,NE,,0.4,WR,9.37
,0.3490611099163545,,2018,,163.3,,0.20454108139311142,,10.20625,False,29.0,0,,,TE,16,,0.13725490196078433,0.9293750000000001,,,00-0027656,NE,,1.0,TE,9.015
,0.28289378825041334,,2020,,180.3,,0.14062046970136272,,9.015,False,31.0,0,,,TE,20,,0.12297297297297298,0.7635,10.20625,,00-0027656,TB,,0.9,TE,14.12857142857143
,0.421137154294001,,2018,,198.22,,0.22256313429313193,,16.518333333333334,False,31.0,1,67.98605620861053,,WR,12,,0.17689530685920576,0.8383333333333334,,2.5614739569136873,00-0027685,DEN,,0.64,WR,10.619375000000002
