snap_share_t_minus_1,cpoe,player_id,route_participation,aging_curve_position,ppg_t,depth_chart_position,tprr,total_points_t,ppg_t_minus_2,dakota,air_yards_share,aging_curve_value,target_share_nfl,yprr,epa_per_dropback,dropback_count,team,feature_season,weighted_opportunity,age,is_dual_threat,ppg_t_minus_1,pass_attempts,snap_share,games_t,position,avg_ppg_t1_t2,training_eligible,outcome_returned,ppg_t_minus_1_available,ppg_t_minus_2_available,snap_share_t_minus_1_available,te_role_is_risk_profile,ngs_completion_percentage_above_expectation,ngs_avg_time_to_throw,ngs_avg_separation,ngs_avg_cushion,ngs_rush_yards_over_expected_per_att,ngs_percent_attempts_gte_eight_defenders
0.9805555555555555,5.6508321474606324,00-0023459,0.8961988304093568,QB_pocket,20.13529411764706,QB,0.0016313213703099511,342.3,17.363333333333333,0.16099980613631093,-0.0008559811684142949,0.6,0.0016750418760469012,-0.0065252854812398045,0.2057818709913272,592.0,GB,2021,0.0019133759961803454,38.0,False,24.035555555555554,592.0,0.9376470588235294,17,QB,14.070588235294117,True,True,True,True,True,,2.77364490915042,2.6304602272727275,,,,
0.9376470588235294,0.5470411479473114,00-0023459,0.9656301145662848,QB_pocket,14.070588235294117,QB,0.0,239.2,24.035555555555554,-0.020630982278575592,0.0,0.52,0.0,0.0,-0.031817293889167896,575.0,GB,2022,0.0,39.0,False,20.13529411764706,575.0,0.9741176470588234,17,QB,15.092941176470587,True,True,True,True,True,,-1.635582571869847,2.6966314814814814,,,,
0.9635294117647059,-0.40555955523038767,00-0023459,0.9116719242902208,QB_pocket,13.465882352941177,QB,0.0017301038062283738,228.92000000000002,,-0.014921203824064108,-0.0026231419411250363,0.28,0.0018248175182481751,-0.015570934256055362,-0.019577893083389922,563.0,PIT,2025,0.0009010269185847377,42.0,False,15.092941176470587,563.0,0.9529411764705882,17,QB,,False,,True,False,True,,-1.3743172690763288,2.59170564516129,,,,
,,00-0023500,,RB,7.328571428571429,RB,,102.60000000000001,,,0.00594900849858357,0.0,0.0367816091954023,,,,MIA,2018,0.059336719742111944,35.0,True,,,0.40714285714285714,14,RB,6.374375000000001,True,True,False,False,False,,,,,,0.3447779302095448,12.179487179487179
0.40714285714285714,,00-0023500,0.2488479262672811,RB,6.0687500000000005,RB,0.10493827160493827,97.10000000000001,,,0.0026438885499288182,0.0,0.03225806451612903,0.6172839506172839,,,BUF,2019,0.05023781875914372,36.0,True,7.328571428571429,,0.33529411764705885,16,RB,6.680000000000001,True,True,True,False,True,,,,,,-0.4020678878608198,37.34939759036144
0.33529411764705885,,00-0023500,0.2921739130434783,RB,6.680000000000001,RB,0.1130952380952381,100.2,7.328571428571429,,0.008445106805762544,0.0,0.04103671706263499,0.5297619047619048,,,NYJ,2020,0.06746665035798627,37.0,True,6.0687500000000005,,0.4093333333333333,15,RB,,False,False,True,True,True,,,,,,-0.49889667354659095,12.834224598930483
,,00-0023564,,RB,9.0,RB,,72.0,,,0.004715127701375246,0.0,0.04524886877828054,,,,PHI,2018,0.07117389255838348,35.0,False,,,0.405,8,RB,2.8333333333333335,True,True,False,False,False,,,,,,,
0.405,,00-0023564,0.10306406685236769,RB,2.8333333333333335,RB,0.13513513513513514,17.0,,,0.0030303030303030303,0.0,0.01589825119236884,0.32432432432432434,,,PHI,2019,0.02596858890976538,36.0,False,9.0,,0.22999999999999998,6,RB,,False,False,True,False,True,,,,,,,
,5.248383478242523,00-0023682,,QB_pocket,20.73,QB,,165.84,,0.13450398103956482,0.0,0.76,0.0,,0.16965547229262468,261.0,TB,2018,0.0,36.0,False,,261.0,0.7875,8,QB,16.58977777777778,True,True,False,False,False,,4.202117684592551,2.645369918699187,,,,
0.7875,-0.5458322336659228,00-0023682,0.8172942817294282,QB_pocket,16.097333333333335,QB,0.0,241.46,,0.002417042785229349,0.0,0.68,0.0,0.0,0.005792199266038739,543.0,MIA,2019,0.0,37.0,False,20.73,543.0,0.8586666666666666,15,QB,17.082222222222224,True,True,True,False,True,,-0.6231963972141727,2.6088597194388776,,,,
0.8586666666666666,3.4094868340727054,00-0023682,0.4722662440570523,QB_pocket,17.082222222222224,QB,0.003355704697986577,153.74,20.73,0.13098154791161198,-0.0009398496240601503,0.6,0.001834862385321101,0.0,0.1725044105848484,282.0,MIA,2020,0.0020943988411395464,38.0,False,16.097333333333335,282.0,0.8333333333333334,9,QB,,False,False,True,True,True,,4.853629786870002,2.380627819548872,,,,
,,00-0024221,,TE,5.823076923076924,TE,,75.7,,,0.10060459492140265,0.6,0.0736196319018405,,,,WAS,2018,0.1808526642977426,34.0,False,,,0.49142857142857144,13,TE,7.075,True,True,False,False,False,0.0,,,,,,
0.49142857142857144,,00-0024221,0.24500907441016334,TE,7.075,TE,0.14074074074074075,28.3,,,0.03693261911474485,0.5,0.04103671706263499,0.9111111111111111,,,WAS,2019,0.08740790897427388,35.0,False,5.823076923076924,,0.7475,4,TE,,False,False,True,False,True,0.0,,,,,,
,,00-0024243,,TE,1.3800000000000001,TE,,6.9,,,0.0009102494083378846,0.6,0.006514657980456026,,,,GB,2018,0.010409161556520559,34.0,False,,,0.181875,5,TE,3.3926282051282053,True,True,False,False,False,0.0,,,,,,
0.181875,,00-0024243,0.3295774647887324,TE,3.076923076923077,TE,0.08974358974358974,40.0,,,0.020203927492447128,0.5,0.03494176372712146,0.7264957264957265,,,GB,2019,0.06655539483539519,35.0,False,1.3800000000000001,,0.45611111111111113,13,TE,3.404166666666667,True,True,True,False,True,0.0,,,,,,
