player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons
00-0032055,2015,WR,83.3,artifact_row,124.6,6.557894736842106,19,21.0,1,True,2015.0,2.0,41.0,1.0,,1,0
00-0032112,2015,WR,52.900000000000006,artifact_row,61.2,5.1000000000000005,12,23.0,1,True,2015.0,5.0,159.0,1.0,,1,0
00-0032115,2015,WR,6.0,artifact_row,6.0,0.8571428571428571,7,23.0,1,True,2015.0,6.0,184.0,1.0,,1,0
00-0032123,2015,WR,8.8,artifact_row,9.6,1.6000000000000003,6,23.0,1,True,2015.0,7.0,245.0,1.0,,1,0
00-0032128,2015,WR,38.7,artifact_row,59.1,4.2214285714285715,14,23.0,1,True,2015.0,3.0,76.0,1.0,,1,0
00-0032166,2015,WR,2.1,artifact_row,10.2,5.1000000000000005,2,22.0,1,True,2015.0,3.0,87.0,1.0,,1,0
00-0032170,2015,WR,44.8,artifact_row,46.3,5.144444444444445,9,23.0,1,True,2015.0,5.0,139.0,1.0,,1,0
00-0032200,2015,WR,42.0,artifact_row,42.0,7.0,6,22.0,1,True,2015.0,3.0,94.0,1.0,,1,0
00-0032208,2015,WR,40.3,artifact_row,48.2,4.381818181818182,11,22.0,1,True,2015.0,1.0,29.0,1.0,,1,0
00-0031064,2016,QB,18.54,artifact_row,17.64,5.88,3,26.0,2,True,2014.0,4.0,135.0,3.0,,3,1
00-0031076,2016,QB,0.0,artifact_row,0.88,0.88,1,26.0,1,True,2014.0,6.0,183.0,3.0,,3,2
00-0031288,2016,QB,0.0,no_record_zero,0.0,,0,26.0,1,True,2014.0,5.0,164.0,3.0,,3,2
00-0031345,2016,QB,35.980000000000004,artifact_row,35.980000000000004,5.996666666666667,6,25.0,3,True,2014.0,2.0,62.0,3.0,,3,0
00-0031568,2016,QB,32.26,artifact_row,32.26,5.376666666666666,6,25.0,1,True,2015.0,4.0,103.0,2.0,,2,1
00-0031589,2016,QB,-1.52,artifact_row,-0.1199999999999998,-0.0239999999999999,5,23.0,1,True,2015.0,5.0,147.0,2.0,,2,1
00-0032245,2016,QB,0.0,artifact_row,-1.34,-1.34,1,24.0,2,True,2015.0,3.0,89.0,2.0,,2,0
00-0032784,2016,QB,16.66,artifact_row,16.66,5.553333333333334,3,24.0,1,True,2016.0,5.0,162.0,1.0,,1,0
00-0032893,2016,QB,0.0,artifact_row,10.44,5.220000000000001,2,23.0,1,True,2016.0,4.0,100.0,1.0,,1,0
00-0033098,2016,QB,0.0,artifact_row,1.7399999999999998,1.7399999999999998,1,24.0,1,True,2016.0,4.0,139.0,1.0,,1,0
00-0033108,2016,QB,28.380000000000003,artifact_row,28.380000000000003,9.46,3,22.0,1,True,2016.0,1.0,26.0,1.0,,1,0
00-0033119,2016,QB,28.300000000000004,artifact_row,28.300000000000004,9.433333333333335,3,24.0,1,True,2016.0,3.0,91.0,1.0,,1,0
00-0031057,2016,RB,23.1,artifact_row,23.1,2.1,11,24.0,3,True,2014.0,4.0,117.0,3.0,,3,0
00-0031066,2016,RB,4.0,artifact_row,4.0,4.0,1,25.0,3,True,2014.0,4.0,138.0,3.0,,3,0
00-0031075,2016,RB,55.0,artifact_row,62.6,3.9125,16,25.0,3,True,2014.0,6.0,181.0,3.0,,3,0
00-0031085,2016,RB,2.5,artifact_row,2.6,0.325,8,24.0,3,True,2014.0,6.0,211.0,3.0,,3,0
00-0031392,2016,RB,0.0,no_record_zero,0.0,,0,25.0,2,True,2014.0,3.0,97.0,3.0,,3,1
00-0031595,2016,RB,0.0,artifact_row,0.0,0.0,1,24.0,2,True,2015.0,5.0,168.0,2.0,,2,0
00-0031599,2016,RB,28.5,artifact_row,28.5,9.5,3,26.0,2,True,2015.0,5.0,174.0,2.0,,2,0
00-0031611,2016,RB,0.0,no_record_zero,0.0,,0,24.0,1,True,2015.0,6.0,205.0,2.0,,2,1
00-0031612,2016,RB,31.0,artifact_row,64.1,4.93076923076923,13,24.0,2,True,2015.0,6.0,206.0,2.0,,2,0
00-0031959,2016,RB,1.3,artifact_row,1.3,0.65,2,25.0,2,True,2015.0,7.0,230.0,2.0,,2,0
00-0032063,2016,RB,14.5,artifact_row,14.5,2.0714285714285716,7,23.0,2,True,2015.0,4.0,126.0,2.0,,2,0
00-0032068,2016,RB,7.6,artifact_row,7.6,1.52,5,24.0,2,True,2015.0,6.0,195.0,2.0,,2,0
00-0032122,2016,RB,0.0,no_record_zero,0.0,,0,25.0,1,True,2015.0,7.0,231.0,2.0,,2,1
00-0032130,2016,RB,2.7,artifact_row,2.7,0.45,6,26.0,2,True,2015.0,4.0,108.0,2.0,,2,0
00-0032133,2016,RB,0.0,no_record_zero,0.0,,0,23.0,1,True,2015.0,5.0,138.0,2.0,,2,1
00-0032393,2016,RB,61.0,artifact_row,61.0,10.166666666666666,6,22.0,1,True,2016.0,3.0,90.0,1.0,,1,0
00-0032404,2016,RB,5.1,artifact_row,5.1,0.3642857142857142,14,23.0,1,True,2016.0,4.0,119.0,1.0,,1,0
00-0032411,2016,RB,87.10000000000001,artifact_row,102.4,8.533333333333333,12,22.0,1,True,2016.0,4.0,134.0,1.0,,1,0
00-0032417,2016,RB,66.6,artifact_row,85.5,5.7,15,22.0,1,True,2016.0,5.0,149.0,1.0,,1,0
00-0032426,2016,RB,29.0,artifact_row,44.4,4.036363636363636,11,22.0,1,True,2016.0,5.0,171.0,1.0,,1,0
00-0032450,2016,RB,48.7,artifact_row,48.7,4.427272727272728,11,22.0,1,True,2016.0,7.0,236.0,1.0,,1,0
00-0032764,2016,RB,91.9,artifact_row,105.7,7.55,14,22.0,1,True,2016.0,2.0,45.0,1.0,,1,0
00-0032782,2016,RB,52.7,artifact_row,52.7,4.391666666666667,12,22.0,1,True,2016.0,5.0,153.0,1.0,,1,0
00-0032794,2016,RB,5.800000000000001,artifact_row,6.7,1.34,5,23.0,1,True,2016.0,6.0,197.0,1.0,,1,0
00-0032804,2016,RB,6.300000000000001,artifact_row,6.300000000000001,1.2600000000000002,5,24.0,1,True,2016.0,7.0,237.0,1.0,,1,0
00-0032897,2016,RB,12.7,artifact_row,12.7,1.4111111111111112,9,24.0,1,True,2016.0,6.0,198.0,1.0,,1,0
00-0032940,2016,RB,77.5,artifact_row,86.80000000000001,6.200000000000001,14,23.0,1,True,2016.0,5.0,143.0,1.0,,1,0
00-0032956,2016,RB,18.7,artifact_row,18.7,2.0777777777777775,9,23.0,1,True,2016.0,6.0,176.0,1.0,,1,0
00-0032975,2016,RB,13.3,artifact_row,12.4,1.55,8,22.0,1,True,2016.0,5.0,156.0,1.0,,1,0
