player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons
00-0038998,2024,QB,13.24,artifact_row,13.24,1.655,8,25.0,1,True,2023.0,4.0,127.0,2.0,,2,1
00-0039150,2024,QB,158.58,artifact_row,195.02,13.93,14,23.0,2,True,2023.0,1.0,1.0,2.0,prior_contribution,2,0
00-0039152,2024,QB,108.14,artifact_row,119.94,9.995,12,25.0,2,True,2023.0,2.0,33.0,2.0,prior_contribution,2,0
00-0039163,2024,QB,214.38,artifact_row,251.86,13.255789473684212,19,23.0,2,True,2023.0,1.0,2.0,2.0,prior_contribution,2,0
00-0039164,2024,QB,163.36,artifact_row,163.36,14.850909090909092,11,22.0,2,True,2023.0,1.0,4.0,2.0,prior_contribution,2,0
00-0039376,2024,QB,52.580000000000005,artifact_row,67.28,9.611428571428572,7,24.0,1,True,2024.0,5.0,150.0,1.0,,1,0
00-0039398,2024,QB,0.0,artifact_row,19.24,19.24,1,24.0,1,True,2024.0,6.0,193.0,1.0,,1,0
00-0039732,2024,QB,283.66,artifact_row,331.26,18.403333333333332,18,24.0,1,True,2024.0,1.0,12.0,1.0,prior_contribution,1,0
00-0039851,2024,QB,177.14,artifact_row,177.14,13.626153846153844,13,22.0,1,True,2024.0,1.0,3.0,1.0,prior_contribution,1,0
00-0039910,2024,QB,351.6,artifact_row,428.2,21.41,20,24.0,1,True,2024.0,1.0,2.0,1.0,prior_contribution,1,0
00-0039917,2024,QB,19.119999999999997,artifact_row,44.1,8.82,5,24.0,1,True,2024.0,1.0,8.0,1.0,,1,0
00-0039918,2024,QB,243.62,artifact_row,254.54,14.97294117647059,17,23.0,1,True,2024.0,1.0,1.0,1.0,prior_contribution,1,0
00-0029239,2024,RB,0.0,no_record_zero,0.0,,0,34.0,11,False,,,,,no_verified_draft_class,0,0
00-0029892,2024,RB,44.7,artifact_row,57.6,4.114285714285715,14,33.0,12,True,2013.0,4.0,130.0,12.0,draft_year_outside_1_3,0,0
00-0030513,2024,RB,0.0,no_record_zero,0.0,,0,34.0,10,True,2013.0,6.0,181.0,12.0,draft_year_outside_1_3,0,0
00-0030578,2024,RB,37.4,artifact_row,37.5,2.6785714285714284,14,33.0,12,True,2013.0,1.0,29.0,12.0,draft_year_outside_1_3,0,0
00-0030874,2024,RB,0.0,no_record_zero,0.0,,0,32.0,9,False,,,,,no_verified_draft_class,0,0
00-0031376,2024,RB,0.0,no_record_zero,0.0,,0,32.0,8,True,2014.0,3.0,96.0,11.0,draft_year_outside_1_3,0,0
00-0031595,2024,RB,29.0,artifact_row,29.3,2.441666666666667,12,32.0,10,True,2015.0,5.0,168.0,10.0,draft_year_outside_1_3,0,0
00-0031687,2024,RB,70.9,artifact_row,70.9,5.453846153846154,13,32.0,10,False,,,,,no_verified_draft_class,0,0
00-0032104,2024,RB,125.2,artifact_row,125.2,8.346666666666668,15,31.0,10,True,2015.0,2.0,54.0,10.0,draft_year_outside_1_3,0,0
00-0032144,2024,RB,0.0,no_record_zero,0.0,,0,31.0,9,True,2015.0,1.0,15.0,10.0,draft_year_outside_1_3,0,0
00-0032450,2024,RB,0.0,no_record_zero,0.0,,0,30.0,8,True,2016.0,7.0,236.0,9.0,draft_year_outside_1_3,0,0
00-0032764,2024,RB,306.3,artifact_row,381.4,20.073684210526316,19,30.0,9,True,2016.0,2.0,45.0,9.0,draft_year_outside_1_3,0,0
00-0032918,2024,RB,13.5,artifact_row,15.3,1.3909090909090909,11,31.0,8,False,,,,,no_verified_draft_class,0,0
00-0032975,2024,RB,0.0,no_record_zero,0.0,,0,30.0,7,True,2016.0,5.0,156.0,9.0,draft_year_outside_1_3,0,0
00-0033045,2024,RB,57.5,artifact_row,57.5,3.8333333333333335,15,29.0,9,True,2016.0,1.0,4.0,9.0,draft_year_outside_1_3,0,0
00-0033118,2024,RB,0.0,no_record_zero,0.0,,0,30.0,8,True,2016.0,3.0,73.0,9.0,draft_year_outside_1_3,0,0
00-0033280,2024,RB,47.8,artifact_row,47.8,11.95,4,28.0,8,True,2017.0,1.0,8.0,8.0,draft_year_outside_1_3,0,0
00-0033293,2024,RB,229.1,artifact_row,250.6,13.922222222222222,18,30.0,8,True,2017.0,5.0,182.0,8.0,draft_year_outside_1_3,0,0
00-0033296,2024,RB,0.0,no_record_zero,0.0,,0,30.0,6,True,2017.0,6.0,192.0,8.0,draft_year_outside_1_3,0,0
00-0033308,2024,RB,0.0,no_record_zero,0.0,,0,29.0,7,False,,,,,no_verified_draft_class,0,0
00-0033376,2024,RB,8.8,artifact_row,11.2,1.12,10,30.0,8,False,,,,,no_verified_draft_class,0,0
00-0033526,2024,RB,79.0,artifact_row,84.9,4.245,20,29.0,8,True,2017.0,4.0,114.0,8.0,draft_year_outside_1_3,0,0
00-0033553,2024,RB,253.8,artifact_row,253.8,15.8625,16,29.0,8,True,2017.0,3.0,105.0,8.0,draft_year_outside_1_3,0,0
00-0033699,2024,RB,127.1,artifact_row,159.6,10.64,15,29.0,8,False,,,,,no_verified_draft_class,0,0
00-0033854,2024,RB,51.7,artifact_row,58.400000000000006,3.244444444444445,18,30.0,7,False,,,,,no_verified_draft_class,0,0
00-0033856,2024,RB,0.0,no_record_zero,0.0,,0,29.0,7,True,2017.0,1.0,4.0,8.0,draft_year_outside_1_3,0,0
00-0033893,2024,RB,4.0,artifact_row,4.0,2.0,2,29.0,8,True,2017.0,2.0,41.0,8.0,draft_year_outside_1_3,0,0
00-0033897,2024,RB,236.7,artifact_row,275.4,17.2125,16,28.0,8,True,2017.0,2.0,48.0,8.0,draft_year_outside_1_3,0,0
00-0033906,2024,RB,265.3,artifact_row,265.3,18.95,14,29.0,8,True,2017.0,3.0,67.0,8.0,draft_year_outside_1_3,0,0
00-0033923,2024,RB,155.4,artifact_row,183.4,11.4625,16,29.0,8,True,2017.0,3.0,86.0,8.0,draft_year_outside_1_3,0,0
00-0033925,2024,RB,28.1,artifact_row,32.6,3.26,10,28.0,7,True,2017.0,3.0,89.0,8.0,draft_year_outside_1_3,0,0
00-0033948,2024,RB,33.900000000000006,artifact_row,37.1,2.65,14,29.0,8,True,2017.0,4.0,134.0,8.0,draft_year_outside_1_3,0,0
00-0033955,2024,RB,63.8,artifact_row,70.7,3.927777777777778,18,29.0,6,True,2017.0,5.0,162.0,8.0,draft_year_outside_1_3,0,0
00-0034115,2024,RB,11.0,artifact_row,10.6,1.5142857142857145,7,29.0,7,False,,,,,no_verified_draft_class,0,0
00-0034184,2024,RB,64.10000000000001,artifact_row,66.30000000000001,5.525000000000001,12,29.0,6,False,,,,,no_verified_draft_class,0,0
00-0034208,2024,RB,3.3000000000000007,artifact_row,5.9,1.1800000000000002,5,29.0,7,False,,,,,no_verified_draft_class,0,0
00-0034414,2024,RB,0.0,no_record_zero,0.0,,0,29.0,6,True,2018.0,6.0,201.0,7.0,draft_year_outside_1_3,0,0
00-0034433,2024,RB,0.0,no_record_zero,0.0,,0,28.0,3,True,2018.0,7.0,237.0,7.0,draft_year_outside_1_3,0,0
00-0034614,2024,RB,0.0,no_record_zero,0.0,,0,30.0,4,False,,,,,no_verified_draft_class,0,0
00-0034681,2024,RB,0.0,no_record_zero,0.0,,0,28.0,6,True,2018.0,4.0,134.0,7.0,draft_year_outside_1_3,0,0
00-0034750,2024,RB,0.0,no_record_zero,0.0,,0,28.0,6,True,2018.0,1.0,27.0,7.0,draft_year_outside_1_3,0,0
00-0034791,2024,RB,63.3,artifact_row,63.3,7.9125,8,29.0,7,True,2018.0,2.0,35.0,7.0,draft_year_outside_1_3,0,0
00-0034808,2024,RB,0.0,artifact_row,0.0,0.0,1,28.0,4,True,2018.0,6.0,176.0,7.0,draft_year_outside_1_3,0,0
00-0034838,2024,RB,0.0,no_record_zero,0.0,,0,28.0,6,True,2018.0,3.0,71.0,7.0,draft_year_outside_1_3,0,0
00-0034844,2024,RB,355.3,artifact_row,455.7000000000001,22.785000000000004,20,27.0,7,True,2018.0,1.0,2.0,7.0,draft_year_outside_1_3,0,0
00-0034959,2024,RB,0.0,artifact_row,0.0,0.0,2,28.0,5,False,,,,,no_verified_draft_class,0,0
00-0034972,2024,RB,130.3,artifact_row,137.4,9.814285714285717,14,26.0,6,True,2019.0,3.0,102.0,6.0,draft_year_outside_1_3,0,0
00-0034975,2024,RB,127.1,artifact_row,147.3,8.664705882352942,17,27.0,5,True,2019.0,4.0,113.0,6.0,draft_year_outside_1_3,0,0
00-0035099,2024,RB,0.0,artifact_row,0.0,0.0,3,28.0,6,False,,,,,no_verified_draft_class,0,0
00-0035125,2024,RB,22.2,artifact_row,26.3,2.63,10,28.0,6,False,,,,,no_verified_draft_class,0,0
00-0035184,2024,RB,0.0,no_record_zero,0.0,,0,28.0,5,False,,,,,no_verified_draft_class,0,0
00-0035243,2024,RB,50.7,artifact_row,77.30000000000001,7.027272727272728,11,27.0,6,True,2019.0,2.0,53.0,6.0,draft_year_outside_1_3,0,0
00-0035250,2024,RB,93.9,artifact_row,96.6,6.44,15,27.0,6,True,2019.0,3.0,74.0,6.0,draft_year_outside_1_3,0,0
00-0035261,2024,RB,194.5,artifact_row,200.7,12.54375,16,27.0,6,True,2019.0,4.0,128.0,6.0,draft_year_outside_1_3,0,0
00-0035291,2024,RB,0.0,artifact_row,0.0,0.0,5,27.0,5,True,2019.0,6.0,182.0,6.0,draft_year_outside_1_3,0,0
00-0035311,2024,RB,2.0,artifact_row,2.0,0.4999999999999999,4,27.0,5,True,2019.0,7.0,234.0,6.0,draft_year_outside_1_3,0,0
00-0035537,2024,RB,89.4,artifact_row,114.5,5.725,20,27.0,6,True,2019.0,6.0,186.0,6.0,draft_year_outside_1_3,0,0
00-0035567,2024,RB,17.0,artifact_row,20.9,2.3222222222222224,9,28.0,5,False,,,,,no_verified_draft_class,0,0
00-0035594,2024,RB,6.3999999999999995,artifact_row,6.3999999999999995,0.7999999999999999,8,26.0,6,True,2019.0,6.0,204.0,6.0,draft_year_outside_1_3,0,0
