player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons,policy_1,persistence_1,policy_2,persistence_2,policy_3,persistence_3,policy_4,persistence_4,policy_5,persistence_5,future_sum,future_year1,persistence_sum,label_sources,realized_sum,contributor_any,appeared,any_no_record,horizon,realized_points,rank_future_sum,rank_future_year1,rank_origin_points,rank_draft,rank_persistence
00-0035268,2020,RB,0.0,no_record_zero,0.0,,0,24.0,1,True,2019.0,5.0,140.0,2.0,,2,1,9.888889550420172,0.0,6.555979529174398,0.0,7.569657289283972,0.0,7.69507846207236,0.0,4.466634818272686,0.0,26.287350098803415,9.888889550420172,0.0,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,31.0,30.0,35.5,18.0,35.5
00-0035273,2020,RB,0.3,artifact_row,0.3,0.3,1,24.0,2,True,2019.0,5.0,152.0,2.0,,2,0,2.236176251007932,0.1528234347808621,4.060700791791509,0.1108795266179912,4.92690938656717,0.0773686080746036,5.5212306978641905,0.052558677755377,3.101623334203612,0.0363800501481672,17.610464210426482,2.236176251007932,0.277186862596139,artifact_row+no_record_zero+no_record_zero+no_record_zero,0.0,False,True,True,2345,0.0,35.0,36.0,31.0,20.0,31.0
00-0035275,2020,RB,0.0,no_record_zero,0.0,,0,25.0,1,True,2019.0,5.0,154.0,2.0,,2,1,1.988597958220062,0.0,2.228225916566368,0.0,4.0749895958896785,0.0,3.4036818978172376,0.0,2.807070923640161,0.0,12.513968333913445,1.988597958220062,0.0,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,38.0,38.0,35.5,21.0,35.5
00-0035291,2020,RB,13.000000000000002,artifact_row,21.700000000000003,3.616666666666667,6,23.0,1,True,2019.0,6.0,182.0,2.0,,2,1,35.05401774296759,11.054228449149027,29.448173495707707,8.020285758701366,23.05327258418837,5.596329317396328,21.382583535324535,3.8017443576389423,11.765484438164885,2.631490294050763,85.6495140533855,35.05401774296759,20.0498497277874,artifact_row+artifact_row+artifact_row+artifact_row,37.2,False,True,False,2345,37.2,20.0,21.0,21.0,25.0,21.0
00-0035304,2020,RB,1.6,artifact_row,1.6,0.4,4,25.0,2,True,2019.0,7.0,220.0,2.0,,2,0,0.601363883861702,0.8150583188312647,1.6626077798280432,0.5913574752959533,3.789983352479657,0.4126325763978859,3.563632153860381,0.2803129480286778,2.3991575864972523,0.1940269341235585,11.415380872665335,0.601363883861702,1.4783299338460756,artifact_row+no_record_zero+no_record_zero+no_record_zero,0.0,False,True,True,2345,0.0,39.0,39.0,27.0,32.0,29.0
00-0035310,2020,RB,2.9000000000000004,artifact_row,2.9000000000000004,1.4500000000000002,2,24.0,1,True,2019.0,7.0,233.0,2.0,,2,1,9.14264948275462,1.4772932028816672,9.54909211840238,1.0718354239739152,9.135611309439373,0.7478965447211683,9.135530768424951,0.5080672183019785,4.806374018248476,0.3516738180989499,32.62660821451518,9.14264948275462,2.679473005096012,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,29.0,31.0,26.0,34.0,27.5
00-0035537,2020,RB,54.5,artifact_row,63.3,5.754545454545455,11,23.0,2,True,2019.0,6.0,186.0,2.0,,2,0,67.6587143253022,32.24574473876191,50.975586932370035,23.395580116396147,37.184323240594786,16.324776303741363,31.878599237930704,11.089881006384564,18.32986150745387,7.676190581263285,138.3683709183494,67.6587143253022,58.486428007785356,artifact_row+artifact_row+artifact_row+artifact_row,238.39999999999998,False,True,False,2345,238.39999999999998,12.0,10.0,12.0,26.0,10.0
00-0035594,2020,RB,32.8,artifact_row,32.8,3.644444444444444,9,22.0,2,True,2019.0,6.0,204.0,2.0,,2,0,46.72667064561733,16.70869553604092,37.92398730412046,12.12282824356704,28.06964580709219,8.45896781615666,26.922662759606073,5.7464154345878935,15.842188522595515,3.9775521495329498,108.75848439341424,46.72667064561733,30.305763643844546,artifact_row+artifact_row+artifact_row+artifact_row,49.3,False,True,False,2345,49.3,15.0,18.0,16.0,29.5,17.0
00-0035596,2020,RB,0.0,no_record_zero,0.0,,0,24.0,1,True,2019.0,7.0,222.0,2.0,,2,1,5.4190068320080105,0.0,4.591182075205773,0.0,6.323964438250594,0.0,5.941856599023612,0.0,4.045038460264444,0.0,20.902041572744423,5.4190068320080105,0.0,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,32.0,33.0,35.5,33.0,35.5
00-0035657,2020,RB,91.3,artifact_row,91.3,9.13,10,23.0,2,True,2019.0,3.0,87.0,2.0,,2,0,76.2206770645335,46.50926531830904,59.80526386480394,33.74433593407533,45.85347367781752,23.54584639070437,29.450260978484355,15.995357596886429,21.117948376746416,11.07166192842556,156.22694689785223,76.2206770645335,84.35720185009168,artifact_row+artifact_row+no_record_zero+no_record_zero,103.7,False,True,True,2345,103.7,9.0,6.0,2.0,7.0,5.0
00-0036245,2020,RB,15.2,artifact_row,24.700000000000003,2.744444444444445,9,23.0,1,True,2020.0,7.0,246.0,1.0,,1,0,37.897650661588166,12.582462796957648,33.18789810870813,9.12908102488128,24.30785290618846,6.370015398142364,23.40859663505119,4.327331135192713,13.08410474903833,2.9952907955324353,93.98845239898613,37.897650661588166,22.821718353748793,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,18.0,19.0,20.0,38.0,18.0
