player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons,policy_1,persistence_1,policy_2,persistence_2,policy_3,persistence_3,future_sum,future_year1,persistence_sum,label_sources,realized_sum,contributor_any,appeared,any_no_record,horizon,realized_points,rank_future_sum,rank_future_year1,rank_origin_points,rank_draft,rank_persistence
00-0029634,2014,TE,7.6,artifact_row,8.8,0.8,11,25.0,3,True,2012.0,6.0,186.0,3.0,,3,0,16.678752027475674,5.097381675644139,14.575489586559138,4.044686944449787,10.523428433914948,3.2141055640709126,25.098918020474088,16.678752027475674,7.2587925085207,no_record_zero+artifact_row,16.5,False,True,True,23,16.5,19.0,19.0,16.0,23.0,16.0
00-0029694,2014,TE,0.0,no_record_zero,0.0,,0,25.0,1,True,2012.0,3.0,78.0,3.0,,3,2,6.373791560204225,0.0,4.823119795159761,0.0,3.621129436959342,0.0,8.444249232119104,6.373791560204225,0.0,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,26.0,23.0,25.0,9.0,25.0
00-0030049,2014,TE,17.8,artifact_row,17.8,2.966666666666667,6,24.0,2,True,2013.0,7.0,222.0,2.0,,2,0,36.685447439285255,10.310612934825643,31.983821034815335,8.181298592182525,19.558760125344573,6.501258981870709,51.54258116015991,36.685447439285255,14.682557574053234,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,15.0,12.0,13.0,25.0,13.0
00-0030089,2014,TE,71.0,artifact_row,98.1,6.13125,16,24.0,2,True,2013.0,5.0,158.0,2.0,,2,0,77.09222318002493,56.82422072507841,73.10783754192433,45.08906696028683,63.09723766420901,35.82997225401778,136.20507520613333,77.09222318002493,80.9190392143046,artifact_row+artifact_row,82.6,False,True,False,23,82.6,4.0,2.0,2.0,21.0,1.0
00-0030108,2014,TE,23.3,artifact_row,25.1,2.51,10,24.0,2,True,2013.0,6.0,201.0,2.0,,2,0,35.94599780717524,14.539122733939534,33.87757804403028,11.53655026201019,25.376908572819467,9.167505642974987,59.254486616849746,35.94599780717524,20.704055904985175,artifact_row+artifact_row,138.0,False,True,False,23,138.0,12.0,13.0,12.0,24.0,12.0
00-0030129,2014,TE,0.0,no_record_zero,0.0,,0,23.0,1,True,2013.0,7.0,254.0,2.0,,2,1,7.534263053365582,0.0,7.474456050637677,0.0,5.162004354142108,0.0,12.636460404779786,7.534263053365582,0.0,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,22.0,20.0,25.0,28.0,25.0
00-0030422,2014,TE,60.900000000000006,artifact_row,64.4,4.6000000000000005,14,23.0,2,True,2013.0,4.0,106.0,2.0,,2,0,60.1124957454345,37.30356589903211,57.91721055387919,29.599754457109807,44.6379896346636,23.521408900700767,102.55520018854278,60.1124957454345,53.12116335781057,artifact_row+artifact_row,114.60000000000001,False,True,False,23,114.60000000000001,7.0,7.0,4.0,12.0,5.0
00-0030443,2014,TE,61.400000000000006,artifact_row,64.8,4.319999999999999,15,23.0,2,True,2013.0,4.0,133.0,2.0,,2,0,61.71517054303363,37.53526506610684,59.05844316808011,29.783603863675705,48.58227783699254,23.667504608158534,107.64072100507265,61.71517054303363,53.45110847183424,artifact_row+artifact_row,78.8,False,True,False,23,78.8,6.0,5.0,3.0,19.0,4.0
00-0030470,2014,TE,3.0,artifact_row,3.0,0.75,4,24.0,2,True,2013.0,2.0,55.0,2.0,,2,0,1.2030069256028175,1.7377437530605018,8.03538126777596,1.3788705492442457,5.645265064953198,1.0957178059332655,13.680646332729157,1.2030069256028175,2.474588355177511,artifact_row+artifact_row,124.4,False,True,False,23,124.4,20.0,27.0,21.0,7.0,21.0
00-0030512,2014,TE,0.0,no_record_zero,0.0,,0,24.0,1,True,2013.0,6.0,172.0,2.0,,2,1,7.082695056787227,0.0,6.155841606235489,0.0,4.5556361075503995,0.0,10.71147771378589,7.082695056787227,0.0,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,24.0,22.0,25.0,22.0,25.0
