origin,position,horizon,ordering,n,spearman,all_tied,n_positive,auc,picks,hits,points_captured,misses,busts,boundary_ties
2014,WR,23,rank_persistence,47,0.5040141562058273,False,7,0.7660714285714286,2,0.0,237.5,7.0,0.0,0
2015,QB,23,rank_persistence,9,-0.5126050420168068,False,2,0.14285714285714285,2,0.0,2.3600000000000003,2.0,0.0,0
2015,RB,23,rank_persistence,31,0.7281881461484709,False,7,0.8095238095238095,2,1.0,359.6,6.0,0.0,0
2015,TE,23,rank_persistence,28,0.2850078836771464,False,4,0.6770833333333334,2,1.0,163.39999999999998,3.0,1.0,0
2015,WR,23,rank_persistence,50,0.4842461484535366,False,9,0.7669376693766937,2,2.0,483.6,7.0,0.0,0
2016,QB,23,rank_persistence,12,0.30412188112182115,False,2,0.9,2,1.0,283.54,1.0,1.0,0
2016,RB,23,rank_persistence,30,0.6211908628948191,False,5,0.768,2,1.0,486.76,4.0,0.0,0
2016,TE,23,rank_persistence,30,0.39952140955055826,False,4,0.8365384615384616,2,0.0,122.1,4.0,0.0,0
2016,WR,23,rank_persistence,54,0.3262419988619611,False,8,0.7364130434782609,2,1.0,161.9,7.0,1.0,0
2017,QB,23,rank_persistence,10,0.23186036800810308,False,1,0.6666666666666666,2,0.0,0.0,1.0,2.0,0
2017,RB,23,rank_persistence,34,0.5260140488172679,False,7,0.9047619047619048,2,2.0,348.5,5.0,0.0,0
2017,TE,23,rank_persistence,33,0.469156308576667,False,4,0.6853448275862069,2,1.0,382.9,3.0,0.0,0
2017,WR,23,rank_persistence,59,0.550682165422537,False,12,0.8652482269503546,2,2.0,592.8,10.0,0.0,0
2018,QB,23,rank_persistence,8,0.5916079783099616,False,0,,2,0.0,2.1,0.0,1.0,0
2018,RB,23,rank_persistence,37,0.4551384364649002,False,3,0.7450980392156863,2,0.0,123.2,3.0,0.0,0
2018,TE,23,rank_persistence,25,0.5729156348930445,False,6,0.7280701754385965,2,1.0,321.0,5.0,0.0,0
2018,WR,23,rank_persistence,48,0.43753895817238825,False,5,0.827906976744186,2,2.0,453.8,3.0,0.0,0
2019,QB,23,rank_persistence,9,-0.3527811580208692,False,0,,2,0.0,0.0,0.0,2.0,0
2019,RB,23,rank_persistence,39,0.406193964796572,False,8,0.6471774193548387,2,1.0,542.9,7.0,0.0,0
2019,TE,23,rank_persistence,30,0.5005793694212419,False,5,0.712,2,1.0,293.0,4.0,0.0,0
2019,WR,23,rank_persistence,46,0.2803087581633205,False,9,0.6351351351351351,2,1.0,289.5,8.0,0.0,0
2020,QB,23,rank_persistence,10,-0.12714923406895978,False,0,,2,0.0,0.0,0.0,2.0,0
2020,RB,23,rank_persistence,39,0.6665738839562856,False,5,0.8117647058823529,2,2.0,382.2,3.0,0.0,0
2020,TE,23,rank_persistence,33,0.5048805890204334,False,3,0.8666666666666667,2,1.0,255.10000000000002,2.0,0.0,0
2020,WR,23,rank_persistence,50,0.4862384903212612,False,6,0.6325757575757576,2,1.0,518.3,5.0,0.0,0
2021,QB,23,rank_persistence,14,0.279278921381028,False,1,0.9230769230769231,2,1.0,532.0,0.0,0.0,0
2021,RB,23,rank_persistence,34,0.47696795145457876,False,3,0.6827956989247311,2,1.0,397.98,2.0,0.0,0
2021,TE,23,rank_persistence,32,0.4778087038107723,False,1,0.6129032258064516,2,0.0,141.2,1.0,0.0,0
2021,WR,23,rank_persistence,55,0.5339700877823537,False,4,0.7769607843137255,2,2.0,452.90000000000003,2.0,0.0,0
2022,QB,23,rank_persistence,13,0.2847586178663827,False,1,0.4166666666666667,2,0.0,21.48,1.0,1.0,0
2022,RB,23,rank_persistence,35,0.1387281081826052,False,3,0.6770833333333334,2,1.0,258.2,2.0,1.0,0
2022,TE,23,rank_persistence,34,0.5605743672914726,False,6,0.9166666666666666,2,2.0,475.79999999999995,4.0,0.0,0
2022,WR,23,rank_persistence,58,0.48011437661199263,False,7,0.7787114845938375,2,2.0,786.1,5.0,0.0,0
