origin,position,horizon,ordering,budget,n,picks,hits,points_captured,points_per_slot,misses,busts,boundary_ties,fractional_credit_applied
2021,TE,23,rank_future_year1,2,32,2,0.0,141.2,70.6,1.0,0.0,0,False
2021,WR,23,rank_future_year1,2,55,2,0.0,52.6,26.3,4.0,1.0,0,False
2022,QB,23,rank_future_year1,2,13,2,0.0,-0.8400000000000001,-0.42000000000000004,1.0,1.0,0,False
2022,RB,23,rank_future_year1,2,35,2,1.0,258.2,129.1,2.0,1.0,0,False
2022,TE,23,rank_future_year1,2,34,2,2.0,475.79999999999995,237.89999999999998,4.0,0.0,0,False
2022,WR,23,rank_future_year1,2,58,2,1.0,455.3,227.65,6.0,0.0,0,False
2014,QB,23,rank_future_year1,1,7,1,0.0,0.0,0.0,3.0,1.0,0,False
2014,RB,23,rank_future_year1,1,36,1,1.0,191.6,191.6,11.0,0.0,0,False
2014,TE,23,rank_future_year1,1,28,1,0.0,8.9,8.9,3.0,0.0,0,False
2014,WR,23,rank_future_year1,1,47,1,0.0,179.7,179.7,7.0,0.0,0,False
2015,QB,23,rank_future_year1,1,9,1,0.0,2.7600000000000002,2.7600000000000002,2.0,0.0,0,False
2015,RB,23,rank_future_year1,1,31,1,0.0,0.0,0.0,7.0,1.0,0,False
2015,TE,23,rank_future_year1,1,28,1,1.0,127.7,127.7,3.0,0.0,0,False
2015,WR,23,rank_future_year1,1,50,1,1.0,305.1,305.1,8.0,0.0,0,False
2016,QB,23,rank_future_year1,1,12,1,0.0,0.0,0.0,2.0,1.0,0,False
2016,RB,23,rank_future_year1,1,30,1,0.0,41.5,41.5,5.0,0.0,0,False
2016,TE,23,rank_future_year1,1,30,1,0.0,112.0,112.0,4.0,0.0,0,False
2016,WR,23,rank_future_year1,1,54,1,0.0,12.6,12.6,8.0,0.0,0,False
2017,QB,23,rank_future_year1,1,10,1,1.0,650.38,650.38,0.0,0.0,0,False
2017,RB,23,rank_future_year1,1,34,1,1.0,630.2,630.2,6.0,0.0,0,False
2017,TE,23,rank_future_year1,1,33,1,0.0,64.1,64.1,4.0,0.0,0,False
2017,WR,23,rank_future_year1,1,59,1,1.0,289.2,289.2,11.0,0.0,0,False
2018,QB,23,rank_future_year1,1,8,1,0.0,0.0,0.0,0.0,1.0,0,False
2018,RB,23,rank_future_year1,1,37,1,0.0,21.700000000000003,21.700000000000003,3.0,0.0,0,False
2018,TE,23,rank_future_year1,1,25,1,0.0,76.4,76.4,6.0,0.0,0,False
2018,WR,23,rank_future_year1,1,48,1,0.0,75.5,75.5,5.0,0.0,0,False
2019,QB,23,rank_future_year1,1,9,1,0.0,0.0,0.0,0.0,1.0,0,False
2019,RB,23,rank_future_year1,1,39,1,0.0,0.0,0.0,8.0,1.0,0,False
2019,TE,23,rank_future_year1,1,30,1,0.0,137.0,137.0,5.0,0.0,0,False
2019,WR,23,rank_future_year1,1,46,1,0.0,41.0,41.0,9.0,0.0,0,False
2020,QB,23,rank_future_year1,1,10,1,0.0,0.0,0.0,0.0,1.0,0,False
2020,RB,23,rank_future_year1,1,39,1,1.0,172.2,172.2,4.0,0.0,0,False
2020,TE,23,rank_future_year1,1,33,1,0.0,84.3,84.3,3.0,0.0,0,False
2020,WR,23,rank_future_year1,1,50,1,1.0,447.3,447.3,5.0,0.0,0,False
2021,QB,23,rank_future_year1,1,14,1,0.0,0.38,0.38,1.0,0.0,0,False
2021,RB,23,rank_future_year1,1,34,1,0.0,149.48000000000002,149.48000000000002,3.0,0.0,0,False
2021,TE,23,rank_future_year1,1,32,1,0.0,0.0,0.0,1.0,0.0,0,False
2021,WR,23,rank_future_year1,1,55,1,0.0,0.0,0.0,4.0,1.0,0,False
2022,QB,23,rank_future_year1,1,13,1,0.0,-0.8400000000000001,-0.8400000000000001,1.0,0.0,0,False
2022,RB,23,rank_future_year1,1,35,1,1.0,258.2,258.2,2.0,0.0,0,False
2022,TE,23,rank_future_year1,1,34,1,1.0,240.39999999999998,240.39999999999998,5.0,0.0,0,False
2022,WR,23,rank_future_year1,1,58,1,1.0,422.0,422.0,6.0,0.0,0,False
2014,QB,23,rank_future_year1,3,7,3,1.0,108.30000000000001,36.1,2.0,2.0,0,False
2014,RB,23,rank_future_year1,3,36,3,2.0,585.3,195.1,10.0,0.0,0,False
