player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons,policy_1,persistence_1,future_sum,future_year1,persistence_sum,label_sources,realized_sum,contributor_any,appeared,any_no_record,horizon,realized_points,rank_future_sum,rank_future_year1,rank_origin_points,rank_draft,rank_persistence
00-0028125,2011,RB,1.3,artifact_row,1.3,1.3,1,23.0,1,True,2011.0,6.0,187.0,1.0,,1,0,7.024063116861966,0.6781235390493375,7.024063116861966,7.024063116861966,0.6781235390493375,artifact_row,0.0,False,False,False,1,0.0,29.0,29.0,30.0,23.0,30.0
00-0028158,2011,RB,1.9,artifact_row,1.9,1.9,1,23.0,1,True,2011.0,7.0,220.0,1.0,,1,0,9.059913339145185,0.9911036339951856,9.059913339145185,9.059913339145185,0.9911036339951856,artifact_row,0.0,False,True,False,1,0.0,27.0,27.0,27.5,29.0,27.5
00-0028159,2011,RB,2.9,artifact_row,2.9,0.4142857142857142,7,23.0,1,True,2011.0,7.0,221.0,1.0,,1,0,14.757941937057677,1.5127371255715991,14.757941937057677,14.757941937057677,1.5127371255715991,artifact_row,0.9,False,True,False,1,0.9,23.0,23.0,24.0,30.5,23.5
00-0028163,2011,RB,0.8,artifact_row,0.8,0.8,1,23.0,1,True,2011.0,7.0,225.0,1.0,,1,0,5.408549299017741,0.4173067932611308,5.408549299017741,5.408549299017741,0.4173067932611308,artifact_row,3.5,False,True,False,1,3.5,31.0,31.0,31.0,32.0,31.0
00-0026908,2011,TE,3.0,artifact_row,3.0,1.5,2,26.0,2,True,2009.0,4.0,122.0,3.0,,3,1,3.5020280850657572,1.788784693234964,3.5020280850657572,3.5020280850657572,1.788784693234964,no_record_zero,0.0,False,False,True,1,0.0,30.0,30.0,27.0,12.0,30.0
00-0026931,2011,TE,22.200000000000003,artifact_row,40.5,3.375,12,25.0,3,True,2009.0,6.0,184.0,3.0,,3,0,35.77456817862914,24.148593358672013,35.77456817862914,35.77456817862914,24.148593358672013,artifact_row,13.5,False,True,False,1,13.5,8.0,8.0,11.0,27.0,6.0
00-0026957,2011,TE,25.5,artifact_row,27.1,2.2583333333333333,12,24.0,3,True,2009.0,7.0,241.0,3.0,,3,0,27.383974494570097,16.158688395555842,27.383974494570097,27.383974494570097,16.158688395555842,no_record_zero,0.0,False,False,True,1,0.0,14.0,14.0,10.0,37.5,12.0
00-0026963,2011,TE,11.1,artifact_row,13.5,2.7,5,24.0,3,True,2009.0,7.0,248.0,3.0,,3,0,14.151023800883165,8.049531119557338,14.151023800883165,14.151023800883165,8.049531119557338,no_record_zero,0.0,False,False,True,1,0.0,23.0,23.0,19.0,40.0,17.5
00-0027040,2011,TE,0.0,no_record_zero,0.0,,0,25.0,2,True,2009.0,2.0,64.0,3.0,,3,1,1.1252068058091238,0.0,1.1252068058091238,1.1252068058091238,0.0,no_record_zero,0.0,False,False,True,1,0.0,35.0,35.0,36.5,3.0,37.0
00-0027069,2011,TE,0.0,no_record_zero,0.0,,0,25.0,1,True,2009.0,3.0,98.0,3.0,,3,2,3.0535104851907455,0.0,3.0535104851907455,3.0535104851907455,0.0,artifact_row,2.2,False,True,False,1,2.2,32.0,32.0,36.5,5.0,37.0
00-0027070,2011,TE,17.0,artifact_row,31.799999999999997,3.1799999999999997,10,24.0,3,True,2009.0,3.0,100.0,3.0,,3,0,32.3788752291212,18.96111774829062,32.3788752291212,32.3788752291212,18.96111774829062,artifact_row,0.0,False,True,False,1,0.0,11.0,11.0,14.0,6.0,8.0
00-0027088,2011,TE,0.0,no_record_zero,0.0,,0,26.0,2,True,2009.0,4.0,121.0,3.0,,3,1,1.0067956651627112,0.0,1.0067956651627112,1.0067956651627112,0.0,no_record_zero,0.0,False,False,True,1,0.0,36.0,36.0,36.5,11.0,37.0
00-0027109,2011,TE,35.0,artifact_row,51.1,4.6454545454545455,11,27.0,3,True,2009.0,5.0,152.0,3.0,,3,0,37.44642821957252,30.468965941435556,37.44642821957252,37.44642821957252,30.468965941435556,artifact_row,82.5,False,True,False,1,82.5,7.0,7.0,5.0,17.0,5.0
00-0027125,2011,TE,14.2,artifact_row,14.2,4.733333333333333,3,27.0,3,True,2009.0,6.0,180.0,3.0,,3,0,15.200908419444309,8.466914214645497,15.200908419444309,15.200908419444309,8.466914214645497,no_record_zero,0.0,False,False,True,1,0.0,22.0,22.0,16.0,24.0,16.0
00-0027135,2011,TE,29.0,artifact_row,31.1,1.94375,16,26.0,3,True,2009.0,6.0,202.0,3.0,,3,0,34.05765220023442,18.543734653202463,34.05765220023442,34.05765220023442,18.543734653202463,artifact_row,174.29999999999998,True,True,False,1,174.29999999999998,9.0,9.0,8.0,29.0,9.5
00-0027139,2011,TE,31.1,artifact_row,31.1,2.591666666666667,12,24.0,2,True,2009.0,6.0,208.0,3.0,,3,1,39.335898843442685,18.543734653202463,39.335898843442685,39.335898843442685,18.543734653202463,artifact_row,19.5,False,True,False,1,19.5,6.0,6.0,7.0,31.0,9.5
00-0027154,2011,TE,12.2,artifact_row,12.2,1.7428571428571429,7,26.0,3,True,2009.0,7.0,237.0,3.0,,3,0,6.718654668872604,7.274391085822186,6.718654668872604,6.718654668872604,7.274391085822186,artifact_row,4.8,False,True,False,1,4.8,29.0,29.0,18.0,36.0,19.0
00-0027157,2011,TE,0.0,artifact_row,0.0,0.0,2,26.0,3,True,2009.0,7.0,255.0,3.0,,3,0,0.0,0.0,0.0,0.0,0.0,no_record_zero,0.0,False,False,True,1,0.0,40.5,40.5,36.5,41.0,37.0
00-0027714,2011,TE,80.3,artifact_row,118.5,6.970588235294118,17,26.0,2,True,2010.0,4.0,114.0,2.0,,2,0,80.51320136833037,70.65699538278108,80.51320136833037,80.51320136833037,70.65699538278108,artifact_row,169.9,True,True,False,1,169.9,1.0,1.0,1.0,9.0,1.0
00-0027718,2011,TE,0.0,artifact_row,3.4000000000000004,1.7000000000000002,2,25.0,2,True,2010.0,4.0,118.0,2.0,,2,0,0.3627214555427996,2.027289318999626,0.3627214555427996,0.3627214555427996,2.027289318999626,artifact_row,70.7,False,True,False,1,70.7,38.0,38.0,36.5,10.0,27.0
00-0027725,2011,TE,33.4,artifact_row,35.3,2.5214285714285714,14,24.0,2,True,2010.0,4.0,125.0,2.0,,2,0,42.43819896306896,21.04803322373141,42.43819896306896,42.43819896306896,21.04803322373141,artifact_row,53.6,False,True,False,1,53.6,5.0,5.0,6.0,13.0,7.0
00-0027732,2011,TE,15.3,artifact_row,15.3,2.185714285714286,7,23.0,2,True,2010.0,5.0,132.0,2.0,,2,0,27.938705907195644,9.122801935498318,27.938705907195644,27.938705907195644,9.122801935498318,artifact_row,15.900000000000002,False,True,False,1,15.900000000000002,13.0,13.0,15.0,15.0,15.0
