player_id,season,week,season_type,position,team,fantasy_points_ppr
,2016,2,REG,,NYJ,0.0
,2016,3,REG,,HOU,0.0
,2016,4,REG,,CIN,0.0
,2016,5,REG,,ARI,0.0
,2016,6,REG,,LAC,0.0
,2016,7,REG,,CHI,0.0
,2016,8,REG,,TEN,0.0
,2016,9,REG,,TB,0.0
,2016,10,REG,,CLE,0.0
,2016,11,REG,,NO,0.0
,2016,12,REG,,DET,0.0
,2016,13,REG,,DAL,0.0
,2016,14,REG,,LV,0.0
,2016,15,REG,,LA,0.0
,2016,16,REG,,NYG,0.0
,2016,17,REG,,BAL,0.0
,2016,18,POST,,HOU,0.0
,2016,19,POST,,SEA,0.0
,2016,20,POST,,ATL,0.0
,2016,21,POST,,NE,0.0
,2017,1,REG,,NE,0.0
,2017,2,REG,,HOU,0.0
,2017,3,REG,,SF,0.0
,2017,4,REG,,GB,0.0
,2017,5,REG,,NE,0.0
,2017,6,REG,,PHI,0.0
,2017,7,REG,,KC,0.0
,2017,8,REG,,MIA,0.0
,2017,9,REG,,NYJ,0.0
,2017,10,REG,,SEA,0.0
,2017,11,REG,,PIT,0.0
,2017,12,REG,,DET,0.0
,2017,13,REG,,DAL,0.0
,2017,14,REG,,NO,0.0
,2017,15,REG,,DEN,0.0
,2017,16,REG,,IND,0.0
,2017,17,REG,,GB,0.0
,2017,18,POST,,KC,0.0
,2017,19,POST,,PHI,0.0
,2017,20,POST,,NE,0.0
,2017,21,POST,,PHI,0.0
,2018,1,REG,,ATL,0.0
,2018,2,REG,,BAL,0.0
,2018,3,REG,,CLE,0.0
,2018,4,REG,,MIN,0.0
,2018,5,REG,,NE,0.0
,2018,6,REG,,PHI,0.0
,2018,7,REG,,ARI,0.0
,2018,8,REG,,MIA,0.0
,2018,9,REG,,LV,0.0
,2018,10,REG,,CAR,0.0
,2018,11,REG,,SEA,0.0
,2018,12,REG,,DET,0.0
,2018,13,REG,,DAL,0.0
,2018,14,REG,,TEN,0.0
,2018,15,REG,,KC,0.0
,2018,16,REG,,WAS,0.0
,2018,17,REG,,BUF,0.0
,2018,18,POST,,IND,0.0
,2018,19,POST,,IND,0.0
,2018,20,POST,,NO,0.0
,2018,21,POST,,NE,0.0
,2019,1,REG,,GB,0.0
,2019,2,REG,,TB,0.0
,2019,3,REG,,JAX,0.0
,2019,4,REG,,PHI,0.0
,2019,5,REG,,SEA,0.0
,2019,6,REG,,NE,0.0
,2019,7,REG,,DEN,0.0
,2019,8,REG,,MIN,0.0
,2019,9,REG,,ARI,0.0
,2019,10,REG,,LAC,0.0
,2019,11,REG,,PIT,0.0
,2019,12,REG,,IND,0.0
,2019,13,REG,,CHI,0.0
,2019,14,REG,,DAL,0.0
,2019,15,REG,,NYJ,0.0
,2019,16,REG,,TB,0.0
,2019,17,REG,,NYJ,0.0
,2019,18,POST,,BUF,0.0
,2019,19,POST,,MIN,0.0
,2019,20,POST,,TEN,0.0
,2019,21,POST,,KC,0.0
,2020,1,REG,,HOU,0.0
,2020,2,REG,,CIN,0.0
,2020,3,REG,,MIA,0.0
,2020,4,REG,,NYJ,0.0
,2020,5,REG,,TB,0.0
,2020,6,REG,,CAR,0.0
,2020,7,REG,,PHI,0.0
,2020,8,REG,,ATL,0.0
,2020,9,REG,,GB,0.0
,2020,10,REG,,TEN,0.0
,2020,11,REG,,SEA,0.0
,2020,12,REG,,HOU,0.0
,2020,13,REG,,ATL,0.0
,2020,14,REG,,LA,0.0
,2020,15,REG,,LV,0.0
,2020,16,REG,,NO,0.0
,2020,17,REG,,BUF,0.0
,2020,18,POST,,IND,0.0
,2020,19,POST,,LA,0.0
,2020,20,POST,,TB,0.0
,2020,21,POST,,TB,0.0
,2021,1,REG,,TB,0.0
,2021,2,REG,,WAS,0.0
,2021,3,REG,,CAR,0.0
,2021,4,REG,,JAX,0.0
,2021,5,REG,,LA,0.0
,2021,6,REG,,TB,0.0
,2021,7,REG,,CLE,0.0
,2021,8,REG,,GB,0.0
,2021,9,REG,,NYJ,0.0
,2021,10,REG,,BAL,0.0
,2021,11,REG,,NE,0.0
,2021,12,REG,,CHI,0.0
,2021,13,REG,,NO,0.0
,2021,14,REG,,MIN,0.0
,2021,15,REG,,LAC,0.0
,2021,16,REG,,SF,0.0
,2021,17,REG,,BAL,0.0
,2021,18,REG,,DEN,0.0
,2021,19,POST,,LV,0.0
,2021,20,POST,,TEN,0.0
,2021,21,POST,,CIN,0.0
,2021,22,POST,,LA,0.0
,2022,1,REG,,BUF,0.0
,2022,2,REG,,KC,0.0
,2022,3,REG,,CLE,0.0
,2022,4,REG,,CIN,0.0
,2022,5,REG,,IND,0.0
,2022,6,REG,,CHI,0.0
,2022,7,REG,,NO,0.0
,2022,8,REG,,BAL,0.0
,2022,9,REG,,HOU,0.0
,2022,10,REG,,ATL,0.0
,2022,11,REG,,TEN,0.0
,2022,12,REG,,DET,0.0
,2022,13,REG,,NE,0.0
,2022,14,REG,,LV,0.0
,2022,15,REG,,SEA,0.0
,2022,16,REG,,JAX,0.0
,2022,17,REG,,DAL,0.0
,2022,18,REG,,KC,0.0
,2022,19,POST,,SEA,0.0
,2022,20,POST,,JAX,0.0
,2022,21,POST,,PHI,0.0
,2022,22,POST,,PHI,0.0
,2023,1,REG,,DET,0.0
,2023,2,REG,,PHI,0.0
,2023,3,REG,,SF,0.0
,2023,4,REG,,DET,0.0
,2023,5,REG,,CHI,0.0
,2023,6,REG,,DEN,0.0
,2023,7,REG,,JAX,0.0
,2023,8,REG,,TB,0.0
,2023,9,REG,,PIT,0.0
,2023,10,REG,,CHI,0.0
,2023,11,REG,,BAL,0.0
,2023,12,REG,,GB,0.0
,2023,13,REG,,DAL,0.0
,2023,14,REG,,NE,0.0
,2023,15,REG,,LAC,0.0
,2023,16,REG,,NO,0.0
,2023,17,REG,,CLE,0.0
,2023,18,REG,,PIT,0.0
,2023,19,POST,,CLE,0.0
,2023,20,POST,,HOU,0.0
,2023,21,POST,,BAL,0.0
,2023,22,POST,,SF,0.0
,2024,1,REG,,BAL,0.0
,2024,2,REG,,MIA,0.0
,2024,3,REG,,NYJ,0.0
,2024,4,REG,,DAL,0.0
,2024,5,REG,,ATL,0.0
,2024,6,REG,,SEA,0.0
,2024,7,REG,,DEN,0.0
,2024,8,REG,,MIN,0.0
,2024,9,REG,,HOU,0.0
,2024,10,REG,,CIN,0.0
,2024,11,REG,,PHI,0.0
,2024,12,REG,,PIT,0.0
,2024,13,REG,,DET,0.0
,2024,14,REG,,DET,0.0
,2024,15,REG,,SF,0.0
,2024,16,REG,,LAC,0.0
,2024,17,REG,,PIT,0.0
,2024,18,REG,,CLE,0.0
,2024,19,POST,,LAC,0.0
,2024,20,POST,,KC,0.0
,2024,21,POST,,WAS,0.0
,2024,22,POST,,PHI,0.0
,2025,1,REG,,DAL,0.0
,2025,2,REG,,GB,0.0
,2025,3,REG,,MIA,0.0
,2025,4,REG,,ARI,0.0
,2025,5,REG,,SF,0.0
,2025,6,REG,,PHI,0.0
,2025,7,REG,,PIT,0.0
,2025,8,REG,,MIN,0.0
,2025,9,REG,,MIA,0.0
,2025,10,REG,,LV,0.0
,2025,11,REG,,NYJ,0.0
,2025,12,REG,,HOU,0.0
,2025,13,REG,,GB,0.0
,2025,14,REG,,DET,0.0
,2025,15,REG,,TB,0.0
,2025,16,REG,,LA,0.0
,2025,17,REG,,DAL,0.0
,2025,18,REG,,TB,0.0
,2025,19,POST,,CAR,0.0
,2025,20,POST,,DEN,0.0
,2025,21,POST,,DEN,0.0
,2025,22,POST,,SEA,0.0
