gsis_id,name,draft_season,origin_year,draft_position,pick,round,log_pick,birth_date,age_at_origin,first_full_reg_season,window_absent_through_draft_season,appear_1,points_1,games_1,label_source_1,appear_2,points_2,games_2,label_source_2,appear_3,points_3,games_3,label_source_3,appear_4,points_4,games_4,label_source_4,appear_5,points_5,games_5,label_source_5,candidate_p_appear,candidate_e_points_given_appear,candidate_e_games_given_appear,candidate_e_points,candidate_e_games,candidate_supported,b1_p_appear,b1_e_points_given_appear,b1_e_games_given_appear,b1_e_points,b1_e_games,b1_supported,b2_p_appear,b2_e_points_given_appear,b2_e_games_given_appear,b2_e_points,b2_e_games,b2_supported,origin,horizon
00-0034971,Jalen Hurd,2019,2020,WR,67,3,4.204692619390966,1996-01-23,24.607802874743328,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.6415550981056427,45.054896603743764,7.42279379716948,28.905198610754418,4.762131202761022,True,0.4112903225806452,22.558823529411764,6.0588235294117645,9.278225806451612,2.4919354838709675,True,0.6942920314279953,45.054896603743764,7.42279379716948,31.281255688791546,5.153586584307922,True,2020,1
00-0035660,Kahale Warring,2019,2020,TE,86,3,4.454347296253507,1997-03-23,23.444216290212182,2020.0,True,1.0,6.5,4.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.5917258811534765,33.262640154381,5.703470803813399,19.68236505484211,3.37489128701961,True,0.3508771929824561,18.435,4.8,6.46842105263158,1.6842105263157894,True,0.5274628167079257,33.262640154381,5.703470803813399,17.544805866971956,3.008368775190833,True,2020,1
00-0035529,Hakeem Butler,2019,2020,WR,103,4,4.634728988229636,1996-05-16,24.295687885010267,2020.0,True,1.0,0.0,1.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.5295461431097103,33.81051173003701,6.739613298141288,17.904226083206716,3.568936228081633,True,0.4112903225806452,22.558823529411764,6.0588235294117645,9.278225806451612,2.4919354838709675,True,0.5589300860235458,33.81051173003701,6.739613298141288,18.897712229769688,3.7669726404955433,True,2020,1
00-0035256,Bryce Love,2019,2020,RB,112,4,4.718498871295094,1997-07-08,23.15126625598905,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.5697733628973244,43.35422574698184,7.551530611301397,24.702082999667606,4.302660991423284,True,0.4142857142857143,39.8696551724138,7.344827586206897,16.517428571428574,3.0428571428571427,True,0.5077174927464935,43.35422574698184,7.551530611301397,22.011698796223094,3.8340441883683405,True,2020,1
00-0035589,Gary Jennings Jr,2019,2020,WR,120,4,4.787491742782046,1997-03-07,23.488021902806295,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.5266085740954931,29.81614443688533,6.4969256036798235,15.701437306933453,3.4213367281583325,True,0.4112903225806452,22.558823529411764,6.0588235294117645,9.278225806451612,2.4919354838709675,True,0.48937671028201224,29.81614443688533,6.4969256036798235,14.591326677816264,3.1794440788758083,True,2020,1
00-0035282,Easton Stick,2019,2020,QB,166,5,5.111987788356544,1995-09-09,24.980150581793293,2020.0,True,1.0,-0.04,1.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,1.0,51.540000000000006,4.0,artifact,0.0,0.0,0.0,convention_zero,0.24048499027300776,10.699030077528473,3.38689861239209,2.5729561441250524,0.8144982798567753,True,0.3225806451612903,21.469333333333335,4.033333333333333,6.9255913978494625,1.3010752688172043,True,0.2793422374593121,10.699030077528473,3.38689861239209,2.988691000501281,0.9461038364334458,True,2020,1
00-0035283,Clayton Thorson,2019,2020,QB,167,5,5.117993812416755,1995-06-15,25.215605749486652,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.22386693708693767,10.541987438841556,3.377357097273934,2.3600024387424297,0.7560785888155462,True,0.3225806451612903,21.469333333333335,4.033333333333333,6.9255913978494625,1.3010752688172043,True,0.2771368612461341,10.541987438841556,3.377357097273934,2.921573310096721,0.9359901452458526,True,2020,1
00-0035291,Trayveon Williams,2019,2020,RB,182,6,5.204006687076795,1997-10-18,22.872005475701574,2020.0,True,1.0,13.000000000000002,5.0,artifact,1.0,1.3,3.0,artifact,1.0,8.0,6.0,artifact,1.0,15.1,15.0,artifact,1.0,0.0,4.0,artifact,0.4875288876739464,30.659400063784283,6.780224982515695,14.947343209847274,3.3055555439049797,True,0.4142857142857143,39.8696551724138,7.344827586206897,16.517428571428574,3.0428571428571427,True,0.3890913165651121,30.659400063784283,6.780224982515695,11.929306335914308,2.638126665054696,True,2020,1
00-0035296,Marcus Green,2019,2020,WR,203,6,5.313205979041787,1996-08-13,24.05201916495551,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.3557135075983936,16.07002054030626,5.661745743790125,5.716323373570572,2.0139594376538614,True,0.4112903225806452,22.558823529411764,6.0588235294117645,9.278225806451612,2.4919354838709675,True,0.3547965353474647,16.07002054030626,5.661745743790125,5.701587610663253,2.008767773914991,True,2020,1
00-0035299,Rodney Anderson,2019,2020,RB,211,6,5.351858133476067,1996-09-12,23.969883641341546,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.3287218925169617,26.793451302433528,6.54533967454541,8.807594019197001,2.1515964449829212,True,0.4142857142857143,39.8696551724138,7.344827586206897,16.517428571428574,3.0428571428571427,True,0.3270685129317962,26.793451302433528,6.54533967454541,8.763294273797431,2.140774513987054,True,2020,1
